        Constituents (Atomic Number:Fraction by Weight)
           1:0.05549   6:0.75575   8:0.18876
 
        Partial Interaction Coefficients and Total Attenuation Coefficients
 
        PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
        ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                  ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                              FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)
 
        2.800E+01 5.25E-08 7.41E-03 2.25E-08 7.09E-03 9.53E-04 1.55E-02 1.55E-02
        3.000E+01 4.57E-08 7.02E-03 2.10E-08 7.30E-03 9.96E-04 1.53E-02 1.53E-02
        4.000E+01 2.57E-08 5.58E-03 1.56E-08 8.16E-03 1.18E-03 1.49E-02 1.49E-02
        5.000E+01 1.65E-08 4.66E-03 1.24E-08 8.81E-03 1.32E-03 1.48E-02 1.48E-02
        6.000E+01 1.14E-08 4.01E-03 1.03E-08 9.33E-03 1.43E-03 1.48E-02 1.48E-02
        8.000E+01 6.43E-09 3.16E-03 7.69E-09 1.01E-02 1.61E-03 1.49E-02 1.49E-02
        1.000E+02 4.12E-09 2.63E-03 6.13E-09 1.07E-02 1.74E-03 1.51E-02 1.51E-02
        1.500E+02 1.83E-09 1.87E-03 4.07E-09 1.17E-02 1.98E-03 1.55E-02 1.55E-02
        2.000E+02 1.03E-09 1.47E-03 3.05E-09 1.23E-02 2.13E-03 1.59E-02 1.59E-02
        3.000E+02 4.57E-10 1.04E-03 2.03E-09 1.30E-02 2.33E-03 1.64E-02 1.64E-02
        4.000E+02 2.57E-10 8.14E-04 1.52E-09 1.34E-02 2.46E-03 1.67E-02 1.67E-02
        5.000E+02 1.65E-10 6.74E-04 1.22E-09 1.37E-02 2.55E-03 1.69E-02 1.69E-02
        6.000E+02 1.14E-10 5.77E-04 1.01E-09 1.39E-02 2.61E-03 1.71E-02 1.71E-02
        8.000E+02 6.43E-11 4.51E-04 7.59E-10 1.42E-02 2.70E-03 1.74E-02 1.74E-02
        1.000E+03 4.12E-11 3.71E-04 6.07E-10 1.44E-02 2.77E-03 1.75E-02 1.75E-02
        1.500E+03 1.83E-11 2.59E-04 4.04E-10 1.47E-02 2.86E-03 1.78E-02 1.78E-02
        2.000E+03 1.03E-11 2.00E-04 3.03E-10 1.48E-02 2.91E-03 1.79E-02 1.79E-02
        3.000E+03 4.57E-12 1.39E-04 2.02E-10 1.50E-02 2.97E-03 1.81E-02 1.81E-02
        4.000E+03 2.57E-12 1.08E-04 1.52E-10 1.51E-02 3.01E-03 1.82E-02 1.82E-02
        5.000E+03 1.65E-12 8.80E-05 1.21E-10 1.51E-02 3.03E-03 1.82E-02 1.82E-02
        6.000E+03 1.14E-12 7.46E-05 1.01E-10 1.52E-02 3.04E-03 1.83E-02 1.83E-02
        8.000E+03 6.43E-13 5.74E-05 7.58E-11 1.52E-02 3.06E-03 1.83E-02 1.83E-02
        1.000E+04 4.12E-13 4.69E-05 6.06E-11 1.52E-02 3.08E-03 1.84E-02 1.84E-02
        1.500E+04 1.83E-13 3.24E-05 4.04E-11 1.53E-02 3.10E-03 1.84E-02 1.84E-02
        2.000E+04 1.03E-13 2.49E-05 3.03E-11 1.53E-02 3.11E-03 1.84E-02 1.84E-02
        3.000E+04 4.57E-14 1.72E-05 2.02E-11 1.53E-02 3.12E-03 1.85E-02 1.85E-02
        4.000E+04 2.57E-14 1.32E-05 1.52E-11 1.54E-02 3.12E-03 1.85E-02 1.85E-02
        5.000E+04 1.65E-14 1.07E-05 1.21E-11 1.54E-02 3.13E-03 1.85E-02 1.85E-02
        6.000E+04 1.14E-14 9.08E-06 1.01E-11 1.54E-02 3.13E-03 1.85E-02 1.85E-02
        8.000E+04 6.43E-15 6.97E-06 7.58E-12 1.54E-02 3.13E-03 1.85E-02 1.85E-02
        1.000E+05 4.12E-15 5.66E-06 6.06E-12 1.54E-02 3.13E-03 1.85E-02 1.85E-02
