0.0435	361.416
0.0747	4368.96
0.228	841.38
0.278	1091.52
0.106	1993.54
0.821	11.832
0.467	11.934
0.916	13.566
0.606	18.054
0.507	18.564
0.959	18.768
0.889	25.5
0.147	26.112
1.17	49.98
0.175	52.02
0.0989	53.448
0.193	62.22
0.271	63.24
0.153	74.46
0.988	74.46
0.867	89.76
0.448	136.68
0.896	150.96
0.601	204
0.974	264.18
0.566	281.52
0.92	24.7534
0.432	26.9715
2.52	32.2061
0.752	40.2798
0.868	51.1926
0.925	64.146
0.329	188.978
0.816	216.482
0.487	423.204
1.6	887.22
0.415	0.0892162
0.781	0.0932714
0.647	0.202764
0.311	0.265621
0.088	1.66006e-321
0.034	28.525
0.0252	67.645
0.084	187.974
0.658	0.0872315
0.978	1.22875
1.04	1.4321
1.06	2.06007
0.942	2.66387
1.08	2.6827
0.948	29.2718
0.433	30.3197
0.767	30.3197
0.135	31.4374
1.61	31.4374
0.975	34.9305
1.81	40.5194
0.857	48.9027
0.405	53.793
0.541	55.8888
0.677	57.9846
1.14	66.368
0.622	77.5457
0.595	81.0388
1.07	108.983
0.884	475.055
0.847	698.61
0.591	39.0566
0.54	47.9811
0.778	30.8544
0.141	32.5246
0.181	44.04
0.74	87.9042
0.263	44.708
0.316	75.5854
0.676	106.463
0.469	119.328
0.724	321.64
0.53142	6.73552
0.18412	10.7292
0.12722	17.6435
0.54505	40.0555
0.30683	596.064
0.506	78.0728
1.01	87.4954
0.192	122.371
0.59	129.102
0.53	573.33
1.13	143.201
1.26	181.958
0.21	63.3413
0.136	105.569
0.346	111.125
0.0387	1.06488e-07
0.0516	2.77644e-07
0.013	3.7687e-07
0.205	3.48195e-14
0.163	3.5306e-14
0.144	7.6172e-14
0.186	3.9754e-13
0.0496	7.68e-10
0.114	1.224e-10
0.284	6.206e-05
1.2266	0.195934
1.9276	0.238297
0.5601	0.27007
0.7151	0.307139
0.3512	0.428935
0.0881	0.476595
0.3376	0.778439
0.2632	4.16226
1.86	0.003091
1.86	0.490995
1.86	0.578076
1.86	2.47504
1.86	0.22809
0.658	1.82985
0.658	577.592
0.668	486.591
0.665	27.8928
0.665	2.08722
0.662	9.3496
