#0##原始谱 
###能量 , 强度 
0.017812,0.00000298,0.0205,,,,
0.018199,3.0275E-06,0.0203,,,,
0.018586,0.000002985,0.0205,,,,
0.018973,3.09625E-06,0.0201,,,,
0.01936,3.1075E-06,0.0201,,,,
0.019748,3.10125E-06,0.0201,,,,
0.020135,3.10375E-06,0.0201,,,,
0.020522,2.99375E-06,0.0204,,,,
0.020909,3.0375E-06,0.0203,,,,
0.021296,3.05625E-06,0.0202,,,,
0.021684,3.0775E-06,0.0202,,,,
0.022071,0.000003095,0.0201,,,,
0.022458,3.13125E-06,0.02,,,,
0.022845,3.0925E-06,0.0201,,,,
0.023233,0.00000304,0.0203,,,,
0.02362,3.0125E-06,0.0204,,,,
0.024007,3.01125E-06,0.0204,,,,
0.024394,2.99375E-06,0.0204,,,,
0.024781,3.04375E-06,0.0203,,,,
0.025169,2.93875E-06,0.0206,,,,
0.025556,0.000002985,0.0205,,,,
0.025943,2.9425E-06,0.0206,,,,
0.02633,3.0425E-06,0.0203,,,,
0.026717,2.99375E-06,0.0204,,,,
0.027105,2.90125E-06,0.0208,,,,
0.027492,2.9425E-06,0.0206,,,,
0.027879,0.000002845,0.021,,,,
0.028266,3.0175E-06,0.0204,,,,
0.028653,2.92875E-06,0.0207,,,,
0.029041,2.95625E-06,0.0206,,,,
0.029428,0.000002845,0.021,,,,
0.029815,3.0025E-06,0.0204,,,,
0.030202,2.97375E-06,0.0205,,,,
0.030589,3.01125E-06,0.0204,,,,
0.030977,3.01875E-06,0.0203,,,,
0.031364,3.00375E-06,0.0204,,,,
0.031751,3.01625E-06,0.0204,,,,
0.032138,2.92875E-06,0.0207,,,,
0.032526,2.9975E-06,0.0204,,,,
0.032913,2.92375E-06,0.0207,,,,
0.0333,2.96875E-06,0.0205,,,,
0.033687,3.0125E-06,0.0204,,,,
0.034074,3.11875E-06,0.02,,,,
0.034462,0.000003145,0.0199,,,,
0.034849,3.24375E-06,0.0196,,,,
0.035236,3.18375E-06,0.0198,,,,
0.035623,0.00000313,0.02,,,,
0.03601,3.27375E-06,0.0195,,,,
0.036398,3.54875E-06,0.0188,,,,
0.036785,0.00000343,0.0191,,,,
0.037172,3.59875E-06,0.0186,,,,
0.037559,3.51625E-06,0.0189,,,,
0.037946,0.0000036,0.0186,,,,
0.038334,3.5525E-06,0.0188,,,,
0.038721,3.60625E-06,0.0186,,,,
0.039108,0.000003555,0.0188,,,,
0.039495,3.4675E-06,0.019,,,,
0.039882,0.00000361,0.0186,,,,
0.04027,3.5825E-06,0.0187,,,,
0.040657,0.000003505,0.0189,,,,
0.041044,3.54875E-06,0.0188,,,,
0.041431,3.48875E-06,0.0189,,,,
0.041819,3.43375E-06,0.0191,,,,
0.042206,3.52375E-06,0.0188,,,,
0.042593,3.5425E-06,0.0188,,,,
